"Imbalance settlement period (UTC)","+ Imbalance Price [CZK/MWh] - MBA|CZ","- Imbalance Price [CZK/MWh] - MBA|CZ","Status","Total Imbalance [MWh] - MBA|CZ","Difference","Situation","Status"
"05.01.2020 07:00 - 05.01.2020 08:00","2567","2350","Estimated","39","","Deficit","Final"
"05.01.2020 08:00 - 05.01.2020 09:00","-121","-1","Estimated","34","","Surplus","Final"
"05.01.2020 09:00 - 05.01.2020 10:00","-692","-1","Estimated","197","","Surplus","Final"
"05.01.2020 10:00 - 05.01.2020 11:00","2523","2350","Estimated","31","","Deficit","Final"
"05.01.2020 11:00 - 05.01.2020 12:00","2786","2350","Estimated","79","","Deficit","Final"
"05.01.2020 12:00 - 05.01.2020 13:00","-131","-1","Estimated","37","","Surplus","Final"
"05.01.2020 13:00 - 05.01.2020 14:00","-539","-1","Estimated","154","","Surplus","Final"
"05.01.2020 14:00 - 05.01.2020 15:00","-508","-1","Estimated","145","","Surplus","Final"
"05.01.2020 15:00 - 05.01.2020 16:00","2516","2350","Estimated","30","","Deficit","Final"
"05.01.2020 16:00 - 05.01.2020 17:00","2838","2350","Estimated","89","","Deficit","Final"
"05.01.2020 17:00 - 05.01.2020 18:00","2601","2350","Estimated","46","","Deficit","Final"
"05.01.2020 18:00 - 05.01.2020 19:00","2378","2350","Estimated","5","","Deficit","Final"
"05.01.2020 19:00 - 05.01.2020 20:00","2491","2350","Estimated","26","","Deficit","Final"
"05.01.2020 20:00 - 05.01.2020 21:00","-51","-1","Estimated","14","","Surplus","Final"
"05.01.2020 21:00 - 05.01.2020 22:00","-139","-1","Estimated","39","","Surplus","Final"
"05.01.2020 22:00 - 05.01.2020 23:00","-28","-1","Estimated","8","","Surplus","Final"
"05.01.2020 23:00 - 06.01.2020 00:00","-491","-1","Estimated","140","","Surplus","Final"
"06.01.2020 00:00 - 06.01.2020 01:00","-350","-1","Estimated","100","","Surplus","Final"
"06.01.2020 01:00 - 06.01.2020 02:00","-559","-1","Estimated","159","","Surplus","Final"
"06.01.2020 02:00 - 06.01.2020 03:00","-545","-1","Estimated","156","","Surplus","Final"
"06.01.2020 03:00 - 06.01.2020 04:00","-201","-1","Estimated","57","","Surplus","Final"
"06.01.2020 04:00 - 06.01.2020 05:00","-281","-1","Estimated","80","","Surplus","Final"
"06.01.2020 05:00 - 06.01.2020 06:00","-423","-1","Estimated","121","","Surplus","Final"
"06.01.2020 06:00 - 06.01.2020 07:00","-202","-1","Estimated","57","","Surplus","Final"
"06.01.2020 07:00 - 06.01.2020 08:00","-100","-1","Estimated","28","","Surplus","Final"
"06.01.2020 08:00 - 06.01.2020 09:00","-82","-1","Estimated","23","","Surplus","Final"
"06.01.2020 09:00 - 06.01.2020 10:00","-133","81","Estimated","38","","Surplus","Final"
"06.01.2020 10:00 - 06.01.2020 11:00","-26","-1","Estimated","7","","Surplus","Final"
